table,columns,model_status
w_insured_motor_vehicle_d,risk_id,TBU
w_insured_motor_vehicle_d,program,TBU
w_insured_motor_vehicle_d,sub_class,TBU
w_insured_motor_vehicle_d,is_commercial,TBU
w_insured_motor_vehicle_d,vehicle_type,TBU
w_insured_motor_vehicle_d,is_state,TBU
w_insured_motor_vehicle_d,usage_code,TBU
w_insured_motor_vehicle_d,region,TBU
w_insured_motor_vehicle_d,brand,TBU
w_insured_motor_vehicle_d,model,TBU
w_insured_motor_vehicle_d,manufacturing_year,TBU
w_insured_motor_vehicle_d,1st_registration_year,TBU
w_insured_motor_vehicle_d,adjusted_vehicle_value,TBU
w_insured_motor_vehicle_d,plates,TBU
w_insured_motor_vehicle_d,seats,TBU
w_insured_motor_vehicle_d,tonnage,TBU
w_insured_motor_vehicle_d,capacity,TBU
w_insured_motor_vehicle_d,tplc_cert_no,TBU
w_insured_motor_vehicle_d,w_integration key,TBU
w_insured_motor_vehicle_d,w_valid_from,TBU
w_insured_motor_vehicle_d,w_valid_to,TBU
w_insured_motor_vehicle_d,w_valid_flag,TBU
w_insured_motor_vehicle_d,w_created_time,TBU
w_insured_motor_vehicle_d,w_updated_time,TBU
w_insured_motor_vehicle_d,w_job_id,TBU
w_insured_human_d,w_insured_human_id,TBU
w_insured_human_d,w_insured_id,TBU
w_insured_human_d,insured_src_id,TBU
w_insured_human_d,full_name,TBU
w_insured_human_d,dob,TBU
w_insured_human_d,id_type,TBU
w_insured_human_d,nationality,TBU
w_insured_human_d,relationship_with_po,TBU
w_insured_human_d,relationship_within_insured_list,TBU
w_insured_human_d,certificate_ref_no,TBU
w_insured_human_d,group_name,TBU
w_insured_human_d,w_integration key,TBU
w_insured_human_d,w_valid_from,TBU
w_insured_human_d,w_valid_to,TBU
w_insured_human_d,w_valid_flag,TBU
w_insured_human_d,w_created_time,TBU
w_insured_human_d,w_updated_time,TBU
w_insured_human_d,w_job_id,TBU
w_insured_agri_d,w_insured_agri_id,TBU
w_insured_agri_d,w_insured_id,TBU
w_insured_agri_d,insured_src_id,TBU
w_insured_agri_d,risk_id,TBU
w_insured_agri_d,risk_type,TBU
w_insured_agri_d,program,TBU
w_insured_agri_d,ri_risk_level,TBU
w_insured_agri_d,rating_type,TBU
w_insured_agri_d,insured_objects,TBU
w_insured_agri_d,jurisdiction,TBU
w_insured_agri_d,location_of_risk_territorial_limit,TBU
w_insured_agri_d,rating_percentage,TBU
w_insured_agri_d,rating_percentage,TBU
w_insured_agri_d,w_job_id,TBU
w_insured_agri_d,w_updated_time,TBU
w_insured_agri_d,w_created_time,TBU
w_insured_agri_d,w_integration key,TBU
w_insured_agri_d,w_valid_from,TBU
w_insured_agri_d,w_valid_to,TBU
w_insured_agri_d,w_valid_flag,TBU
w_re_insurer_d,w_re_insurer_id,updated
w_re_insurer_d,re_insured_id,updated
w_re_insurer_d,short_name_en,updated
w_re_insurer_d,country,updated
w_re_insurer_d,address_vn,updated
w_re_insurer_d,phone,updated
w_re_insurer_d,company_en,updated
w_re_insurer_d,short_name_vn,updated
w_re_insurer_d,insurer_company,updated
w_re_insurer_d,tax_code,updated
w_re_insurer_d,email,updated
w_re_insurer_d,w_integration key,updated
w_re_insurer_d,w_valid_from,updated
w_re_insurer_d,w_valid_to,updated
w_re_insurer_d,w_valid_flag,updated
w_re_insurer_d,w_created_time,updated
w_re_insurer_d,w_updated_time,updated
w_insured_master_d,w_insured_id,updated
w_insured_master_d,insured_src_id,updated
w_insured_master_d,insured_name,updated
w_insured_master_d,lob,updated
w_insured_master_d,insured_object,updated
w_insured_master_d,insured_description,updated
w_insured_master_d,w_integration key,updated
w_insured_master_d,w_valid_from,updated
w_insured_master_d,w_valid_to,updated
w_insured_master_d,w_valid_flag,updated
w_insured_master_d,w_created_time,updated
w_insured_master_d,w_updated_time,updated
w_insured_master_d,w_job_id,updated
